name,brewery,image_url
amber,alaskan brewing co.,"https://tse2.mm.bing.net/th?id=OIP.p2UqLwq4WBWB4rhAdHq--gHaLO&pid=Api&P=0&h=180"
double bag,long trail brewing co.,"https://www.instacart.com/image-server/1200x1200/www.instacart.com/assets/domains/product-image/file/large_08cdae49-739c-44d8-beaf-be7849984cfa.jpg"
long trail ale,long trail brewing co.,https://longtrail.com/wp-content/uploads/2022/06/LTB313-18-SummerAle-Rebrand-Bottle-3D-LR_1.png
doppelsticke,uerige obergarige hausbrauerei gmbh / zum uerige,https://www.bierverkostung.de/bilder_bier/4144_2020-07-25_Uerige_DoppelSticke.jpg
sleigh'r dark double alt ale,ninkasi brewing company,https://cdn.shopify.com/s/files/1/0227/0581/products/Ninkasi-Sleighr-Dark-Double-Alt-12OZ-BTL_535x.jpg?v=1605366678
sticke,uerige obergarige hausbrauerei gmbh / zum uerige,http://cdn.beeradvocate.com/im/beers/16146.jpg
okto festival ale,widmer brothers brewing company,https://imbibemagazine.com/wp-content/uploads/2012/09/Widmer-Okto.jpg
southampton altbier,southampton publick house,https://thefullpint.com/wp-content/uploads/2010/10/southampton-double-white.png
copper,the olde mecklenburg brewery,https://i.pinimg.com/originals/68/1c/11/681c115ce66b1ec3251d486f74b6e488.png
organic munster alt,brauerei pinkus mueller,https://merchantduvin.com/wp-content/uploads/2021/09/organic-munster-alt-1.png
altbier,uerige obergarige hausbrauerei gmbh / zum uerige,none
gerst amber,yazoo brewing company,none
ad astra ale,free state brewing co.,none
copperhead ale,fordham brewing company,none
ten years alt,victory brewing company,none
three blind mice,mother's brewing company,none
ishmael,rising tide brewing company,none
headwall alt,tuckerman brewing co.,none
alt-eration ale,hops & grain,none
schell's schmaltz's alt,august schell brewing company,none
frankenheim alt,privatbrauerei frankenheim,none
iron works alt,metropolitan brewing,none
diebels premium altbier,brauerei diebels gmbh & co kg,none
mission amber,mission brewery,none
hovels original,hovels hausbrauerei,none
secret spot alt ale,evolution craft brewing company,none
lighthouse amber,cheboygan brewing company,none
serie signature sticke alt,les trois mousquetaires,none
crooked coast altbier,driftwood brewery,none
gravel road,rahr & sons brewing company,none
little red cap,grimm brothers brewhouse,none
festivale,beau's all natural brewing company,none
moby d,buzzards bay brewing,none
uber alt,rush river brewing company,none
fuchschen alt,brauerei im fuchschen,none
sticke it to the man,o'fallon brewery,none
evan altmighty,blue mountain brewery,none
alterior motive,coast brewing company,none
the detroit dwarf,detroit beer co.,none
olde school barleywine,dogfish head brewery,none
brewer's reserve bourbon barrel barleywine,central waters brewing company,none
old ruffian,great divide brewing company,none
old horizontal,victory brewing company,none
behemoth,three floyds brewing co. & brewpub,none
olde gnarlywine,lagunitas brewing company,none
old numbskull,alesmith brewing company,none
flying mouflan,troegs brewing company,none
xs old crustacean,rogue ales,none
doggie claws,hair of the dog brewing company / brewery and tasting room,none
helldorado,firestone walker brewing co.,none
