name,style,brewery,beer name (full),description,abv,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
amber,altbier,alaskan brewing co.,alaskan brewing co. alaskan amber,"notes:richly malty and long on the palate, with just enough hop backing to make this beautiful amber colored ""alt"" style beer notably well balanced.\t",5.3,25,50,13,32,9,47,74,33,0,33,57,8,111,3.498994,3.636821,3.556338,3.643863,3.847082,497
double bag,altbier,long trail brewing co.,long trail brewing co. double bag,"notes:this malty, full-bodied double alt is also known as “stickebier” – german slang for “secret brew”. long trail double bag was originally offered only in our brewery taproom as a special treat to our visitors. with an alcohol content of 7.2%, please indulge in moderation. the long trail brewing company is proud to have double bag named malt advocate’s “beer of the year” in 2001. malt advocate is a national magazine devoted to “expanding the boundaries of fine drinks”. their panel of judges likes to keep things simple, and therefore of thousands of eligible competitors they award only two categories: “imported” and “domestic”. it is a great honor to receive this recognition.33 ibu\t",7.2,25,50,12,57,18,33,55,16,0,24,35,12,84,3.798337,3.846154,3.904366,4.024948,4.034304,481
long trail ale,altbier,long trail brewing co.,long trail brewing co. long trail ale,"notes:long trail ale is a full-bodied amber ale modeled after the “alt-biers” of dusseldorf, germany. our top fermenting yeast and cold finishing temperature result in a complex, yet clean, full flavor. originally introduced in november of 1989, long trail ale beer quickly became, and remains, the largest selling craft-brew in vermont. it is a multiple medal winner at the great american beer festival.25 ibu\t",5,25,50,14,37,6,42,43,11,0,10,54,4,62,3.409814,3.667109,3.600796,3.6313,3.830239,377
doppelsticke,altbier,uerige obergarige hausbrauerei gmbh / zum uerige,uerige obergarige hausbrauerei gmbh / zum uerige uerige doppelsticke,notes:,8.5,25,50,13,55,31,47,101,18,1,49,40,16,119,4.148098,4.033967,4.150815,4.205163,4.005435,368
sleigh'r dark double alt ale,altbier,ninkasi brewing company,ninkasi brewing company sleigh'r dark double alt ale,"notes:called 'dark double alt' on the label.seize the season with sleigh'r. layers of deeply toasted malt are balanced by just enough hop bitterness to make it deceivingly drinkable. paired with a dry finish, sleigh’r is anything but your typical winter brew.an alt ferments with ale yeast at colder lagering temperatures. this effect gives alts a more refined, crisp lager-like flavor than traditional ales. the alt has been “ninkasified” raising the abv and ibus. sleigh'r has a deep, toasted malt flavor that finishes dry and balanced.50 ibu\t",7.2,25,50,25,51,26,44,45,9,1,11,51,20,95,3.625,3.973958,3.734375,3.765625,3.817708,96
sticke,altbier,uerige obergarige hausbrauerei gmbh / zum uerige,uerige obergarige hausbrauerei gmbh / zum uerige uerige sticke,notes:,6,25,50,22,45,13,46,62,25,1,34,60,4,103,4.007937,4.007937,4.087302,4.192063,4.230159,315
okto festival ale,altbier,widmer brothers brewing company,widmer brothers brewing company okto,notes:classified as a german altbier by the widmer brothers; brewed with an (ale) alt yeast strain.availability: early aug. - late oct.bitterness : 28 ibuoriginal gravity: 13.5° plato\t,5.3,25,50,28,40,3,40,58,29,0,36,54,8,97,3.322581,3.637097,3.366935,3.354839,3.475806,124
southampton altbier,altbier,southampton publick house,southampton publick house southampton altbier,notes:,5,25,50,18,49,5,37,73,22,0,21,37,4,98,3.496629,3.735955,3.588764,3.579775,3.738202,445
copper,altbier,the olde mecklenburg brewery,the olde mecklenburg brewery omb copper,"notes:omb’s flagship, copper, is an authentic dusseldorf style “altbier” or amber ale. there are no crazy flavors or gimmicks with copper – its full-flavored start transitions to a smooth, balanced, easy-drinking finish. it’s the beer that tastes like beer.\t",4.8,25,50,25,35,4,38,39,13,1,8,60,16,97,3.847826,4.043478,4.119565,3.98913,4.184783,46
organic munster alt,altbier,brauerei pinkus mueller,brauerei pinkus mueller organic munster alt,notes:,5.1,25,50,35,31,5,35,50,55,5,52,66,8,77,3.534694,3.528571,3.608163,3.587755,3.767347,245
